file,line,type,commit,author,date,time,timezone,datetime,depth,length
src/routes/+layout.svelte,15,js,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,0
src/routes/+layout.svelte,16,js,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,0
src/routes/+layout.svelte,17,js,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,47
src/routes/+layout.svelte,18,js,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,0
src/routes/+layout.svelte,19,js,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,57
src/routes/+layout.svelte,20,js,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,47
src/routes/+layout.svelte,21,js,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,0
src/routes/+layout.svelte,22,js,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,54
src/routes/+layout.svelte,23,js,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,40
src/routes/+layout.svelte,24,js,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,0
src/routes/+layout.svelte,25,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,0,7
src/routes/+layout.svelte,26,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,0,0
src/routes/+layout.svelte,27,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,0,3
src/routes/+layout.svelte,28,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,16
src/routes/+layout.svelte,29,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,0
src/routes/+layout.svelte,30,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,56
src/routes/+layout.svelte,31,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,38
src/routes/+layout.svelte,32,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,54
src/routes/+layout.svelte,33,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,0
src/routes/+layout.svelte,34,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,7
src/routes/+layout.svelte,35,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,2
src/routes/+layout.svelte,36,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,0,0
src/routes/+layout.svelte,37,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,5
src/routes/+layout.svelte,38,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,1,4
src/routes/+layout.svelte,39,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,1,0
src/routes/+layout.svelte,40,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,0,0
src/routes/+layout.svelte,41,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,1,26
src/routes/+layout.svelte,42,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,4
src/routes/+layout.svelte,43,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,2,31
src/routes/+layout.svelte,44,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,4,45
src/routes/+layout.svelte,45,svelte,770debe3,Luciano Sampaio,2025-03-27,12:49:07,-03:00,2025-03-27T12:49:07-03:00,4,36
